n_neighbors,algorithm,weights,p,metric,result
6,brute,distance,1,minkowski,0.4
6,brute,uniform,2,minkowski,0.35
6,brute,distance,2,minkowski,0.35
6,brute,uniform,3,minkowski,0.35
6,brute,distance,3,minkowski,0.25
7,brute,uniform,1,minkowski,0.4
7,brute,distance,1,minkowski,0.3
7,brute,uniform,2,minkowski,0.4
7,brute,distance,2,minkowski,0.35
7,brute,uniform,3,minkowski,0.35
7,brute,distance,3,minkowski,0.2
8,brute,uniform,1,minkowski,0.4
8,brute,distance,1,minkowski,0.3
8,brute,uniform,2,minkowski,0.35
8,brute,distance,2,minkowski,0.3
8,brute,uniform,3,minkowski,0.35
8,brute,distance,3,minkowski,0.25
9,brute,uniform,1,minkowski,0.35
9,brute,distance,1,minkowski,0.35
9,brute,uniform,2,minkowski,0.35
9,brute,distance,2,minkowski,0.3
9,brute,uniform,3,minkowski,0.35
9,brute,distance,3,minkowski,0.3
