max_depth,max_features,min_samples_split,min_samples_leaf,bootstrap,criterion,result
3,1,2,1,True,gini,0.43023420397
3,1,3,1,True,gini,0.43023420397
3,1,10,1,True,gini,0.43023420397
3,1,2,3,True,gini,0.43023420397
3,1,3,3,True,gini,0.43023420397
3,1,10,3,True,gini,0.43023420397
3,1,2,10,True,gini,0.43023420397
3,1,3,10,True,gini,0.43023420397
3,1,10,10,True,gini,0.43023420397
3,3,2,1,True,gini,0.43023420397
3,3,3,1,True,gini,0.43023420397
3,3,10,1,True,gini,0.43023420397
3,3,2,3,True,gini,0.43023420397
3,3,3,3,True,gini,0.43023420397
3,3,10,3,True,gini,0.43023420397
3,3,2,10,True,gini,0.43023420397
3,3,3,10,True,gini,0.43023420397
3,3,10,10,True,gini,0.43023420397
3,10,2,1,True,gini,0.43023420397
3,10,3,1,True,gini,0.43023420397
3,10,10,1,True,gini,0.43023420397
3,10,2,3,True,gini,0.43023420397
3,10,3,3,True,gini,0.43023420397
3,10,10,3,True,gini,0.43023420397
3,10,2,10,True,gini,0.43023420397
3,10,3,10,True,gini,0.43023420397
3,10,10,10,True,gini,0.43023420397
,1,2,1,True,gini,0.560326887403
,1,3,1,True,gini,0.540513359275
,1,10,1,True,gini,0.496752028573
,1,2,3,True,gini,0.43023420397
,1,3,3,True,gini,0.43023420397
,1,10,3,True,gini,0.43023420397
,1,2,10,True,gini,0.43023420397
,1,3,10,True,gini,0.43023420397
,1,10,10,True,gini,0.43023420397
,3,2,1,True,gini,0.563870029745
,3,3,1,True,gini,0.554778268354
,3,10,1,True,gini,0.499874323542
,3,2,3,True,gini,0.43023420397
,3,3,3,True,gini,0.43023420397
,3,10,3,True,gini,0.43023420397
,3,2,10,True,gini,0.43023420397
,3,3,10,True,gini,0.43023420397
,3,10,10,True,gini,0.43023420397
,10,2,1,True,gini,0.577643193887
,10,3,1,True,gini,0.565202781047
,10,10,1,True,gini,0.531758389084
,10,2,3,True,gini,0.45747704271
,10,3,3,True,gini,0.467618705098
,10,10,3,True,gini,0.465157185666
