id,raw_budget,raw_revenue,raw
862,30000000,364545516,1995
8844,65000000,262758310,1995
11860,58000000,87100000,1995
710,60000000,356429941,1995
10858,45000000,34668249,1995
1408,92000000,18517322,1995
524,52000000,110400000,1995
4584,16500000,134993774,1995
9273,30000000,212400000,1995
11517,68000000,77224232,1995
8012,30250000,115021008,1995
9691,50000000,83306268,1995
451,4000000,49800000,1995
63,29000000,168841459,1995
9598,30000000,246100000,1995
687,11000000,83088295,1995
31174,9200000,4199334,1995
9312,20000000,122133227,1995
577,20000000,27688744,1995
807,30000000,328125643,1995
10530,55000000,347100000,1995
9089,20000000,22119269,1995
2054,31000000,106282604,1995
10634,3500000,27936778,1995
755,20000000,25732986,1996
11859,50000000,26097497,1995
9095,47000000,12900000,1996
9208,65000000,148345997,1996
9614,10000000,41004412,1996
197,72000000,209045522,1995
103,1000000,28316211,1976
33542,7500000,36238752,1996
11066,42000000,131052444,1992
2074,7000000,16149180,1996
5757,20000000,41342180,2006
9737,23000000,141247413,1995
568,65000000,334100000,1995
414,100000000,336529144,1995
8839,55000000,282300000,1995
10329,50000000,152022333,1995
8963,55000000,159387195,1995
1572,90000000,366101666,1995
6520,75000000,127361412,1995
9482,85000000,113487912,1995
9344,1500000,20412216,1995
10802,40000000,37750754,1995
9348,35000000,113354449,1995
3512,60000000,104324083,1995
9804,175000000,264246220,1995
76,2500000,5683223,1995
2292,27000,3894240,1994
8984,55000000,212200000,1994
8467,16000000,246400000,1994
14275,700000,11768371,1994
1024,5000000,5438120,1994
11,11000000,786598007,1977
4476,30000000,160502573,1994
680,8000000,212928762,1994
2164,55000000,196565669,1994
193,38000000,120000000,1994
3049,12000000,107217396,1994
9331,62000000,207500000,1994
13,55000000,679850637,1994
712,4500000,242895809,1994
1637,30000000,283200000,1994
8831,28000000,102053581,1994
36955,100000000,365300000,1994
10395,70000000,131011757,1994
11667,35000000,99423000,1994
306,50000000,119180938,1994
9350,65000000,255000000,1993
1634,20000000,153698625,1993
329,63000000,1038812584,1993
9593,85000000,137298489,1993
2320,55000000,122079192,1996
788,25000000,441286003,1993
9800,26000000,201324422,1993
424,25000000,321365567,1993
78,28000000,33139618,1982
319,12500000,12309980,1993
11446,800000,5034794,1996
771,15000000,476684675,1990
251,22000000,517600000,1990
812,28000000,504050219,1992
280,100000000,515419827,1991
581,19000000,424200000,1990
268,35000000,411348924,1989
10020,20000000,451329842,1991
114,14000000,432645872,1990
275,7000000,51204567,1996
9099,39000000,37956589,1996
10684,46000000,100833145,1996
954,80000000,457697994,1996
8840,57000000,104364680,1996
2300,80000000,250200000,1996
36355,25530000,30593313,1996
664,88000000,495700000,1996
