movie_display_name,movie_production_year,movie_odid,movie_financial_summary_production_budget,movie_financial_summary_domestic_box_office,movie_financial_summary_international_box_office,production_date_year,movie_creative_type_display_name,movie_source_display_name,movie_production_method_display_name,movie_genre_display_name,movie_sequel,movie_running_time
9,2009,22060100,30000000,31749894,16810105,2009-01-01,Fantasy,Original Screenplay,Digital Animation,Adventure,0,
Assault On Precinct 13,2005,25230100,30000000,20040895,16000000,2005-01-01,Contemporary Fiction,Remake,Live Action,Action,0,
The Five-Year Engagement,2011,140720100,30000000,28700285,32923534,2011-01-01,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0,124
The Next Three Days,2010,138890100,30000000,21148651,46107265,2010-01-01,Contemporary Fiction,Remake,Live Action,Thriller/Suspense,0,133
Wu ji,2006,64990100,30000000,669625,35200309,2006-01-01,Fantasy,Original Screenplay,Live Action,Action,0,
Lee Daniels' The Butler,2011,149520100,30000000,116632095,60393403,2011-01-01,Dramatization,Based on Real Life Events,Live Action,Drama,0,132
Like Mike,2002,10540100,30000000,51432423,11000000,2002-01-01,Kids Fiction,Original Screenplay,Live Action,Comedy,0,
Hope Springs,2011,146300100,30000000,63536011,69549284,2011-01-01,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0,100
SpongeBob SquarePants: The Movie,2004,5220100,30000000,85416609,56634646,2004-01-01,Kids Fiction,Based on TV,Hand Animation,Adventure,0,88
Southpaw,2015,222920100,30000000,52421953,36301038,2015-01-01,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,124
Machine Gun Preacher,2010,147590100,30000000,538690,3183298,2010-01-01,Dramatization,Based on Real Life Events,Live Action,Drama,0,123
Wild Card,2014,205520100,30000000,3200,925957,2014-01-01,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Action,0,92
About Schmidt,2002,7840100,30000000,65005217,42049267,2002-01-01,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,124
Dodgeball: A True Underdog Story,2004,3360100,30000000,114326736,53464968,2004-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,92
Without a Paddle,2004,9020100,30000000,58156435,6964845,2004-01-01,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Comedy,0,
Get on Up,2014,196800100,30000000,30569935,2745869,2014-01-01,Dramatization,Based on Real Life Events,Live Action,Drama,0,138
Little Black Book,2004,24820100,30000000,20422207,1336164,2004-01-01,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0,
Entourage,2015,145960100,30000000,32363404,13861922,2015-01-01,Contemporary Fiction,Based on TV,Live Action,Comedy,0,104
88 Minutes,2008,28230100,30000000,16930884,16024515,2008-01-01,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,
Love and Other Drugs,2010,134560100,30000000,32367005,70349316,2010-01-01,Contemporary Fiction,Based on Factual Book/Article,Live Action,Drama,0,112
Looper,2011,145030100,30000000,66486205,103980200,2011-01-01,Science Fiction,Original Screenplay,Live Action,Action,0,119
Step Up 3D,2010,129200100,30000000,42400223,123488894,2010-01-01,Contemporary Fiction,Original Screenplay,Live Action,Drama,1,97
The Assassination of Jesse James by the Coward Robert Ford,2007,49520100,30000000,3909149,11404482,2007-01-01,Dramatization,Based on Fiction Book/Short Story,Live Action,Western,0,160
Midnight in Paris,2010,142540100,30000000,56816662,106126173,2010-01-01,Fantasy,Original Screenplay,Live Action,Romantic Comedy,0,94
Barney's Version,2009,110420100,30000000,7502560,1343015,2009-01-01,Dramatization,Based on Fiction Book/Short Story,Live Action,Drama,0,132
District 9,2009,3460100,30000000,115646235,96807196,2009-01-01,Science Fiction,Original Screenplay,Animation/Live Action,Thriller/Suspense,0,111
The Imaginarium of Doctor Parnassus,2009,119330100,30000000,7689607,56663000,2009-01-01,Fantasy,Original Screenplay,Live Action,Adventure,0,122
Four Brothers,2005,6500100,30000000,74494381,18000000,2005-01-01,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,109
Splice,2009,110740100,30000000,17010170,9847289,2009-01-01,Science Fiction,Original Screenplay,Animation/Live Action,Horror,0,
Supercross,2005,51670100,30000000,3102550,150000,2005-01-01,Contemporary Fiction,Original Screenplay,Live Action,Action,0,80
What's the Worst That Could Happen?,2001,17580100,30000000,32267774,6194297,2001-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,
The Whole Ten Yards,2004,28780100,30000000,16323969,10000000,2004-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,1,98
Sicario,2015,223840100,30000000,46889293,31682444,2015-01-01,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,121
Pride and Glory,2008,29500100,30000000,15740721,27700000,2008-01-01,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,
Million Dollar Baby,2004,4270100,30000000,100422786,131524199,2004-01-01,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,132
Blue Crush,2002,13950100,30000000,40118420,11500000,2002-01-01,Contemporary Fiction,Based on Factual Book/Article,Live Action,Drama,0,
North Country,2005,26750100,30000000,18324242,5352529,2005-01-01,Dramatization,Based on Real Life Events,Live Action,Drama,0,123
Down to Earth,2001,7970100,30000000,64172251,7000000,2001-01-01,Fantasy,Remake,Live Action,Comedy,0,
Hannah Montana the Movie,2009,5960100,30000000,79559647,89597017,2009-01-01,Contemporary Fiction,Based on TV,Live Action,Drama,0,102
27 Dresses,2008,129930100,30000000,76806312,83439151,2008-01-01,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0,111
American Pie 2,2001,129810100,30000000,145096820,141403180,2001-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,1,110
Secondhand Lions,2003,13230100,30000000,42023715,5831627,2003-01-01,Historical Fiction,Original Screenplay,Live Action,Drama,0,109
Mr. 3000,2004,23710100,30000000,21800302,26994,2004-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,
Friday Night Lights,2004,8450100,30000000,61188085,694849,2004-01-01,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,
Deliver Us from Evil,2014,191600100,30000000,30577122,57379496,2014-01-01,Fantasy,Based on Factual Book/Article,Live Action,Horror,0,118
Winnie the Pooh,2010,150800100,30000000,26692846,23452761,2010-01-01,Kids Fiction,Based on Fiction Book/Short Story,Hand Animation,Adventure,0,69
Alex & Emma,2003,31290100,30000000,14208384,1150199,2003-01-01,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,
Baby Mama,2008,8580100,30000000,60321790,3676235,2008-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,
The Nut Job,2013,190810100,30000000,64251538,58278428,2013-01-01,Kids Fiction,Based on Short Film,Digital Animation,Adventure,0,86
Mystic River,2003,4940100,30000000,90135191,66686829,2003-01-01,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,137
The New World,2005,33360100,30000000,12712093,13472307,2005-01-01,Historical Fiction,Original Screenplay,Live Action,Adventure,0,150
Gridiron Gang,2006,14570100,30000000,38432823,3025011,2006-01-01,Dramatization,Based on Real Life Events,Live Action,Drama,0,
DOA: Dead or Alive,2007,67470100,30000000,480314,7275372,2007-01-01,Fantasy,Based on Game,Live Action,Action,0,
Eight Legged Freaks,2002,27780100,30000000,17266505,19455806,2002-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,
Blow,2001,10140100,30000000,52990775,30291521,2001-01-01,Dramatization,Based on Fiction Book/Short Story,Live Action,Drama,0,124
Chicago,2002,1450100,30000000,170687518,137000000,2002-01-01,Historical Fiction,Based on Musical or Opera,Live Action,Musical,0,113
13 Going On 30,2004,130020100,30000000,57139723,39300000,2004-01-01,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,98
Meet the Spartans,2008,14650100,30000000,38233676,46413155,2008-01-01,Historical Fiction,Original Screenplay,Live Action,Comedy,0,
