id,raw_budget,raw_revenue
3595,"$80,000,000","$309,492,681"
12123,"$50,000,000","$38,200,000"
3573,"$6,000,000","$15,600,000"
10546,"$13,000,000","$7,500,000"
10061,"$50,000,000","$42,277,365"
10478,"$45,000,000","$22,000,000"
238,"$6,000,000","$245,066,411"
22479,"$19,000,000","$2,500,000"
9306,"$40,000,000","$14,300,000"
872,"$2,540,800","$12,273,400"
2769,"$2,723,903","$8,005,000"
164,"$2,500,000","$14,000,000"
426,"$2,479,000","$25,000,000"
567,"$1,000,000","$30,000,000"
28288,"$520,000","$1,800,000"
213,"$3,101,000","$22,213,000"
284,"$3,000,000","$25,000,000"
963,"$375,000","$1,772,000"
6620,"$2,238,813","$10,000,000"
804,"$1,500,000","$12,000,000"
909,"$1,707,561","$7,566,000"
630,"$2,800,000","$4,544,851"
770,"$3,977,000","$390,500,000"
599,"$1,752,000","$5,000,000"
62,"$12,000,000","$190,700,000"
705,"$1,400,000","$8,400,000"
29376,"$2,169,120","$5,655,505"
1859,"$1,365,000","$1,092,000"
18299,"$2,100,000","$5,000,000"
17281,"$3,319,355","$13,208,725"
3080,"$609,000","$3,202,000"
3529,"$226,408","$1,423,000"
43905,"$403,000","$592,000"
10331,"$114,000","$30,000,000"
488,"$1,000,000","$10,750,000"
261,"$3,000,000","$25,472,824"
10861,"$25,000,000","$37,200,000"
1770,"$28,000,000","$6,800,000"
9333,"$67,000,000","$15,600,000"
9625,"$45,000,000","$46,600,000"
6346,"$50,000,000","$22,540,359"
864,"$15,000,000","$154,856,263"
8367,"$48,000,000","$390,493,908"
433,"$6,000,000","$44,000,000"
15121,"$8,200,000","$286,214,286"
562,"$28,000,000","$140,767,956"
10163,"$10,000,000","$150,000,000"
9591,"$26,000,000","$34,585,416"
11412,"$65,000,000","$89,456,761"
10586,"$55,000,000","$75,000,000"
9716,"$20,000,000","$16,104,765"
454,"$14,500,000","$147,554,998"
819,"$44,000,000","$112,300,000"
66473,"$1,035,000","$1,500,000"
583,"$4,000,000","$36,045,115"
475,"$2,500,000","$70,000,000"
521,"$1,400,000","$6,000,000"
88,"$6,000,000","$213,954,274"
