id,budget,revenue
274,19000000,272742922
408,2000000,21800000
10020,25000000,424967620
114,14000000,463406268
275,7000000,60611975
1592,30000000,102616183
10684,46000000,100860818
954,80000000,457696359
8840,57000000,115267375
11107,30000000,5700000
2300,80000000,250200000
9103,30000000,35714000
9304,45000000,14000000
9100,15000000,30900000
9802,75000000,335062621
664,92000000,494471524
110465,2049000,5348000
9879,40000000,113309743
602,75000000,817400891
10545,100000000,325338851
9894,47000000,102825796
11543,27000000,7200000
9268,100000000,242295562
9327,54000000,273961019
11228,80000000,159212469
10779,30000000,29359216
9294,32000000,152036382
1645,40000000,152266007
18550,25000000,19900000
18975,25000000,36394530
2925,26000000,181489203
3595,80000000,309492681
12123,50000000,38200000
3573,6000000,15600000
10546,13000000,7500000
10061,50000000,42277365
10478,45000000,22000000
238,6000000,245066411
22479,19000000,2500000
9306,40000000,14300000
872,2540800,12273400
2769,2723903,8005000
164,2500000,14000000
426,2479000,25000000
567,1000000,30000000
213,3101000,22213000
284,3000000,25000000
963,375000,1772000
6620,2238813,10000000
804,1500000,12000000
909,1707561,7566000
630,2800000,4544851
770,3977000,390500000
599,1752000,5000000
62,12000000,190700000
705,1400000,8400000
1859,1365000,1092000
18299,2100000,5000000
3080,609000,3202000
10331,114000,30000000
488,1000000,10750000
261,3000000,25472824
10861,25000000,37200000
1770,28000000,6800000
9333,67000000,15600000
9625,45000000,46600000
6346,50000000,22540359
864,15000000,154856263
8367,48000000,390493908
433,6000000,44000000
15121,8200000,286214286
562,28000000,140767956
10163,10000000,150000000
9591,26000000,34585416
11412,65000000,89456761
10586,55000000,75000000
9716,20000000,16104765
454,14500000,147554998
819,44000000,112300000
583,4000000,36045115
475,2500000,70000000
521,1400000,6000000
88,6000000,213954274
402,49000000,235000000
601,10500000,792910554
2119,60000000,83200000
744,15000000,356830601
2756,70000000,90000098
26174,450000,2500000
409,27000000,231976425
10174,4500000,29012935
1891,18000000,538375067
85,18000000,384140454
679,18500000,45900000
947,15000000,70000000
1892,32500000,572705079
348,11000000,185000000
766,11000000,21502976
539,806947,50000000
525,27000000,115229890
387,14000000,73482661
