n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,bootstrap,criterion,result
20,3,15,3,3,True,gini,0.762535292669
10,3,15,5,3,True,gini,0.770269017032
15,3,15,5,3,True,gini,0.757474431679
20,3,15,5,3,True,gini,0.786390411045
10,3,15,10,3,True,gini,0.766542003489
15,3,15,10,3,True,gini,0.770391314102
20,3,15,10,3,True,gini,0.782141888643
10,3,15,2,10,True,gini,0.735933433086
15,3,15,2,10,True,gini,0.776217217978
20,3,15,2,10,True,gini,0.7637254097
10,3,15,3,10,True,gini,0.755245049574
15,3,15,3,10,True,gini,0.774221778144
20,3,15,3,10,True,gini,0.777260429186
10,3,15,5,10,True,gini,0.763010400874
15,3,15,5,10,True,gini,0.771322039891
20,3,15,5,10,True,gini,0.764659488139
10,3,15,10,10,True,gini,0.747031489106
15,3,15,10,10,True,gini,0.778460981277
20,3,15,10,10,True,gini,0.750657625833
10,3,20,2,1,True,gini,0.772445747762
15,3,20,2,1,True,gini,0.783700671152
20,3,20,2,1,True,gini,0.779650902557
10,3,20,3,1,True,gini,0.7678255055
15,3,20,3,1,True,gini,0.779146559306
20,3,20,3,1,True,gini,0.779748505533
10,3,20,5,1,True,gini,0.778470399205
15,3,20,5,1,True,gini,0.775853347791
20,3,20,5,1,True,gini,0.785665971752
10,3,20,10,1,True,gini,0.784498396486
15,3,20,10,1,True,gini,0.780667353247
20,3,20,10,1,True,gini,0.773714038301
10,3,20,2,3,True,gini,0.771902746215
15,3,20,2,3,True,gini,0.786425346644
20,3,20,2,3,True,gini,0.783213713973
10,3,20,3,3,True,gini,0.783450503169
15,3,20,3,3,True,gini,0.796463741878
20,3,20,3,3,True,gini,0.77894177656
10,3,20,5,3,True,gini,0.770292213238
15,3,20,5,3,True,gini,0.783076544428
20,3,20,5,3,True,gini,0.7788389092
10,3,20,10,3,True,gini,0.779513379089
15,3,20,10,3,True,gini,0.780495627998
20,3,20,10,3,True,gini,0.781844253382
10,3,20,2,10,True,gini,0.761924003576
15,3,20,2,10,True,gini,0.779716131374
20,3,20,2,10,True,gini,0.777981679654
10,3,20,3,10,True,gini,0.777859666485
15,3,20,3,10,True,gini,0.776132636163
20,3,20,3,10,True,gini,0.778525153892
10,3,20,5,10,True,gini,0.784263701892
15,3,20,5,10,True,gini,0.782820152764
20,3,20,5,10,True,gini,0.784560264535
10,3,20,10,10,True,gini,0.782137278742
15,3,20,10,10,True,gini,0.773374480873
20,3,20,10,10,True,gini,0.780841098796
10,,1,2,1,True,gini,0.817585660767
15,,1,2,1,True,gini,0.838716021699
20,,1,2,1,True,gini,0.850527784016
10,,1,3,1,True,gini,0.838225131153
15,,1,3,1,True,gini,0.843366383799
20,,1,3,1,True,gini,0.857543416379
10,,1,5,1,True,gini,0.820463817623
15,,1,5,1,True,gini,0.841835936376
20,,1,5,1,True,gini,0.849222394935
10,,1,10,1,True,gini,0.803197150271
15,,1,10,1,True,gini,0.825792017229
20,,1,10,1,True,gini,0.834630981244
10,,1,2,3,True,gini,0.60386015317
15,,1,2,3,True,gini,0.648877217584
20,,1,2,3,True,gini,0.675131413549
10,,1,3,3,True,gini,0.56050232656
15,,1,3,3,True,gini,0.667888264042
20,,1,3,3,True,gini,0.663518021023
10,,1,5,3,True,gini,0.709438643418
15,,1,5,3,True,gini,0.677379678625
20,,1,5,3,True,gini,0.688491187731
10,,1,10,3,True,gini,0.633634204282
15,,1,10,3,True,gini,0.676012441716
20,,1,10,3,True,gini,0.661427902775
10,,1,2,10,True,gini,0.548469482694
15,,1,2,10,True,gini,0.634460230638
20,,1,2,10,True,gini,0.616519673617
10,,1,3,10,True,gini,0.595045283971
15,,1,3,10,True,gini,0.613253152794
20,,1,3,10,True,gini,0.66292118321
10,,1,5,10,True,gini,0.58884724327
15,,1,5,10,True,gini,0.619584127589
20,,1,5,10,True,gini,0.659588563845
10,,1,10,10,True,gini,0.605357662587
15,,1,10,10,True,gini,0.614458420394
20,,1,10,10,True,gini,0.608743477795
10,,3,2,1,True,gini,0.833869279201
15,,3,2,1,True,gini,0.86640713032
20,,3,2,1,True,gini,0.859447504276
10,,3,3,1,True,gini,0.851157115646
15,,3,3,1,True,gini,0.863804740707
20,,3,3,1,True,gini,0.863744262269
10,,3,5,1,True,gini,0.83454616394
15,,3,5,1,True,gini,0.849644967162
20,,3,5,1,True,gini,0.866920449509
10,,3,10,1,True,gini,0.824670075466
15,,3,10,1,True,gini,0.836225517795
20,,3,10,1,True,gini,0.846533242279
10,,3,2,3,True,gini,0.742983217743
15,,3,2,3,True,gini,0.751836759254
20,,3,2,3,True,gini,0.780306557486
10,,3,3,3,True,gini,0.74778777153
15,,3,3,3,True,gini,0.768054107159
20,,3,3,3,True,gini,0.775032092754
10,,3,5,3,True,gini,0.759382325596
15,,3,5,3,True,gini,0.760569557836
20,,3,5,3,True,gini,0.751143555202
10,,3,10,3,True,gini,0.754035090025
15,,3,10,3,True,gini,0.756339625524
