,name
3,pixar animation studios
559,tristar
2550,teitler
10201,interscope communications
6194,warner bros
19464,lancaster gate
306,twentieth century fox
5842,sandollar
9195,touchstone
508,regency enterprises
675,forward pass
4,paramount
258,scott rudin
932,mirage enterprises
14941,constellation
55873,worldwide
58079,mont blanc entertainment
2,walt disney
33,universal
21437,imperial
23770,signature
60,united artists
7576,eon
5,columbia
97,castle rock
6368,enigma
56,amblin
4105,amblimation
915,hollywood
1504,cinergi pictures
183,le studio canal
415,laurence mark
8411,metro goldwyn mayer
14723,carolco
10898,légende entreprises
11583,syalis da
11584,de fina cappa
441,columbia pictures corporation
14,miramax
59,a band apart
5682,o
10210,morgan creek
216,jersey
10104,new regency
1885,silver
5358,canal
10308,dino de laurentiis
23397,donner shuler donner
25061,evansgideon lazar
175,caravan
15547,intial
12,new line cinema
288,bbc
311,procirep
590,constellation
591,france 3 cinéma
592,claudie ossard
850,eurimages
851,media programme of
1871,cofimage
6639,televisión española
7237,tele münchen fernseh
8170,club d investissement
9335,canal españa
12009,elías querejeta producciones
18367,centre national de
25020,victoires
25021,constellation
25129,lumière
47532,canal
68517,studio image
79437,cofimage
79438,ossane
79439,phoenix images
2588,ministère des affaires
4507,alpha
23647,la sept cinéma
10103,via rosa
10288,don simpson jerry
507,atlas
17031,classico
70801,iwerks
2537,kennedy miller
694,studiocanal
874,cinéa
8363,euston
19316,freeway
30226,european co production
31080,polygram filmed
44821,orsans
406,havoc
1382,polygram filmed
10163,working title
53390,sony new technologies
6130,dualstar
11661,rysher
89131,orr cruickshank
53009,miramax
85681,distant horizon
89840,alpine pty limited
871,british screen
34237,mayfair entertainment international
476,underworld
4174,threshold
364,the rank organisation
4286,juno pix
65394,cecchi gori
10217,walt disney feature
2480,alliance communications corporation
361,blue parrot
9168,bad hat harry
1030,magnolia
7832,ciby
7320,telefilm canada
10260,melenny
802,egg
862,the kennedy marshall
916,the charlie mopic
3492,island
5441,ivory way
11061,motion picture corporation
36390,3 arts
38003,weasel
82,renn
1614,les films flam
3823,tf1 films production
7405,dimension
11705,los hooligans
5841,castleberg
1742,les films
22123,tf1
3388,the movie network
4899,allegro
7958,fuji eight company
23096,fries film group
23097,super ecran
23098,triumph
4606,zweites deutsches fernsehen
83201,ciak filmproduktion
93174,bluehorse
38953,i r i
38954,ferdos
575,bergen
576,bard entertainments
577,nps televisie
38196,bet
38197,united image entertainme
2492,playhouse international
8888,the samuel goldwyn
1644,largo
1645,scott free
3311,joe wizan todd
4665,addis wechsler
18737,nfh
979,woods
456,wcg entertainment
11362,mark gordon
75942,midwinter
5869,les productions lazennec
16366,la sept cinéma
22684,kasso inc
68518,cofinergie
181,channel four
3324,british broadcasting corporation
7025,westdeutscher rundfunk
12113,canadian broadcasting corporation
12911,cinemax reel life
12912,inpictures
12913,lafayette
18,gracie
10355,spelling
1606,brillstein grey
3929,robert simonds
171,malpaso
2504,jim henson
6254,jim henson company
4564,icon entertainment international
7965,the ladd
11353,b h finance
46059,italo judeo
