,name
1,Lucasfilm
306,Twentieth Century Fox Film Corporation
3,Pixar Animation Studios
4,Paramount Pictures
27,DreamWorks SKG
2721,Jinks/Cohen Company
8,Fine Line Features
76,Zentropa Entertainments
119,Danmarks Radio (DR)
157,SVT Drama
201,Arte
321,Memfis Film
591,France 3 Cinéma
2996,Angel films
4524,TV 1000
5358,Canal+
5755,Constantin Film Produktion
5975,Yleisradio (YLE)
6916,Arte France Cinéma
7025,Westdeutscher Rundfunk (WDR)
7330,Blind Spot Pictures Oy
8659,Vrijzinnig Protestantse Radio Omroep (VPRO)
9349,Film4
11239,Liberator Productions
14937,Icelandic Film
17513,Film i Väst
30268,Pain Unlimited GmbH Filmproduktion
53667,Trust Film Svenska
53668,Cinematograph A/S
53669,What Else? B.V
53670,Filmek A/S
53671,Lantia Cinema & Audiovisivi
5,Columbia Pictures
9,Gaumont
49,El Deseo
77,Milestone Productions
2,Walt Disney Pictures
130,Jerry Bruckheimer Films
14,Miramax Films
59,A Band Apart
39121,Super Cool ManChu
33,Universal Pictures
1522,Neal Street Productions
14440,Red Wagon Entertainment
19934,Motion Picture KAPPA Produktionsgesellschaft
60,United Artists
26663,Zoetrope Studios
171,Malpaso Productions
6194,Warner Bros.
18,Gracie Films
10039,Anonymous Content
10059,This Is That Productions
10146,Focus Features
5084,Altavista Films
11230,Zeta Film
19936,Second Mate Productions
385,Stanley Kubrick Productions
8411,Metro-Goldwyn-Mayer (MGM)
507,Atlas Entertainment
17031,Classico
23,Imagine Entertainment
24,Mikona Productions GmbH & Co. KG
10214,Embassy International Pictures
84,Tree Line Films
85,Konrad Pictures
86,Catfish Productions
711,Fox 2000 Pictures
6402,Mars Media Beteiligungs
126,Lakeshore Entertainment
1171,Epsilon Motion Pictures
16311,Albert S. Ruddy Productions
288,BBC Films
686,Tiger Aspect Productions
694,StudioCanal
718,Arts Council of England
10163,Working Title Films
10462,WT2 Productions
12,New Line Cinema
924,The Turman-Morrissey Company
11308,Savoy Pictures
44,Cruise/Wagner Productions
56,Amblin Entertainment
8601,Tim Burton Productions
98,Detour Film Production
491,Summit Entertainment
506,Newmarket Capital Group
598,Team Todd
34446,I Remember Productions
5798,Shaw Brothers
7965,The Ladd Company
724,Beijing New Picture Film Co. Ltd.
2269,China Film Co-Production Corporation
97,Castle Rock Entertainment
11509,Warner Independent Pictures (WIP)
675,Forward Pass
52844,Motion Picture ETA Produktionsgesellschaft
52845,Foqus Arte Digital
52846,Metropolis Films
22376,Plunge Pictures LLC
137,Great American Films Limited Partnership
12360,Vestron Pictures
30,Eddie Murphy Productions
9195,Touchstone Pictures
11533,Valhalla Motion Pictures
10288,Don Simpson/Jerry Bruckheimer Films
1645,Scott Free Productions
21904,Mill Film
21905,C & L
21906,Dawliz
146,Handmade Films Ltd.
1382,PolyGram Filmed Entertainment
13419,SKA Films
21920,The Steve Tisch Company
441,Columbia Pictures Corporation
46059,Italo/Judeo Productions
46060,Bill/Phillips
1972,X-Filme Creative Pool
20448,U-Drive Productions
840,Lawrence Gordon Productions
1302,Davis Entertainment
1885,Silver Pictures
5263,Amercent Films
5264,American Entertainment Partners L.P.
3287,Screen Gems
10282,Silver Screen Partners IV
37,Gramercy Pictures
7,DreamWorks
79,Village Roadshow Pictures
80,The Zanuck Company
45778,Plan B Entertainment
55512,Theobald Film Productions
11,WingNut Films
5237,The Saul Zaentz Company
10342,Studio Ghibli
2092,Mike Zoss Productions
5870,Studio Canal
6780,Televisión Española TVE
9335,Canal+ España
11736,El Deseo S.A.
185,Pandora Cinema
2214,Flower Films
3334,Adam Fields Productions
1246,River Road Entertainment
3997,Alberta Film Entertainment
10565,Good Machine
58,Sony Pictures Classics
2798,Columbia Pictures Film Production Asia
12205,EDKO Film
20289,Asia Union Film & Entertainment Ltd.
20290,United China Vision
20291,Zoom Hunt International Productions Company Ltd.
78,Hotshot Films
70,American Zoetrope
429,DC Comics
923,Legendary Pictures
9993,DC Entertainment
9996,Syncopy
129,Section Eight
172,NPV Entertainment
2596,Jerry Weintraub Productions
24939,WV Films II
12202,WV Films III
11355,Jurow-Shepherd
763,Intermedia Films
1178,Pathé Pictures International
19116,IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG
284,DNA Films
10889,British Film Council
35,Lions Gate Films
2061,Twisted Pictures
23019,Evolution Entertainment
55405,Saw Productions Inc.
932,Mirage Enterprises
11581,Misher Films
20194,Motion Picture JOTA Produktions
766,Blue Tulip Productions
26265,Ronald Shusett/Gary Goldman
76068,Digital Image Associates
14315,Section Eight Productions
70319,Sunset Gower Studios
